title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
excellent picture quality / color,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,{'canon powershot g3': 3},3,False,False,False,False,False,canon powershot g3[+3]
excellent picture quality / color,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .",{'use': 2},2,False,False,False,False,False,use[+2]
excellent picture quality / color,"after i took their picture with their camera , they offered to take a picture of us .",{},0,False,False,False,False,False,
excellent picture quality / color,"i just told them , press halfway , wait for the box to turn green and press the rest of the way .",{},0,False,False,False,False,False,
excellent picture quality / color,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .,{'picture': 2},2,False,False,False,False,False,picture[+2]
excellent picture quality / color,a few of my work constituants owned the g2 and highly recommended the canon for picture quality .,{'picture quality': 1},1,False,False,False,False,False,picture quality[+1]
excellent picture quality / color,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) .,{'picture quality': 1},1,False,False,False,False,False,picture quality[+1]
excellent picture quality / color,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras .",{},0,False,False,False,False,False,
excellent picture quality / color,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices .","{'camera': 2, ', use': 2, ', feature': 1}",5,False,False,False,False,False,"camera[+2], use[+2], feature[+1]"
excellent picture quality / color,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like .,"{'picture quality': 3, ', use': 1, ', option': 1}",5,False,False,False,False,False,"picture quality[+3], use[+1], option[+1]"
excellent picture quality / color,great job canon !,{},0,False,False,False,False,False,
cool toy,yep .,{},0,False,False,False,False,False,
cool toy,"this is my first digital camera , and what a ' toy ' it is !",{'camera': 2},2,False,False,False,False,False,camera[+2]
cool toy,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it .",{},0,False,False,False,False,False,
cool toy,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .",{'picture': 2},2,False,False,False,False,False,picture[+2]
cool toy,"whether you are a novice or an expert , its ease of use and functionality goes together .",{'use': 1},1,False,False,False,False,False,use[+1]
cool toy,"+ you can have different kind of lens if you want + flashes , etc.",{},0,False,False,False,False,False,
cool toy,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) .",{},0,False,False,False,False,False,
cool toy,i am using kingston 512mb cf which works great and is very fast .,{},0,False,False,False,False,False,
cool toy,"a good choice could be cf type ii , microdrives that can store around 1 gb of images .",{},0,False,False,False,False,False,
cool toy,some things that i did n't like ( but hey . nothing is perfect ).,{},0,False,False,False,False,False,
cool toy,* main dial is not backlit .,{'dial': -1},-1,False,False,False,False,False,dial[-1]
cool toy,* lens visible in optical viewfinder .,{'viewfinder': -2},-2,False,False,False,False,False,viewfinder[-2]
cool toy,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too .,{},0,False,False,False,False,False,
cool toy,overall i 'm happy with my toy .,{'camera': 2},2,False,True,False,False,False,camera[+2][p]
canon g3 ? incredible camera,i did extensive research comparing different 4 and 5 megapixel cameras .,{},0,False,False,False,False,False,
canon g3 ? incredible camera,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models .",{},0,False,False,False,False,False,
canon g3 ? incredible camera,"following my research , i decided on the g3 .",{},0,False,False,False,False,False,
canon g3 ? incredible camera,"in a word , "" awesome "" is how i would describe this camera .",{'camera': 3},3,False,False,False,False,False,camera[+3]
canon g3 ? incredible camera,"i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .","{'speed': 2, ',picture quality': 2, ',function': 2}",6,False,False,False,False,False,"speed[+2],picture quality[+2],function[+2]"
canon g3 ? incredible camera,"with the automatic settings , i really have n't taken a bad picture yet .",{'auto setting': 2},2,False,False,False,False,False,auto setting[+2]
canon g3 ? incredible camera,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image .",{},0,False,False,False,False,False,
canon g3 ? incredible camera,"i am absolutely in awe of this camera , canon put enormous quality into the g3 .",{'camera': 3},3,False,False,False,False,False,camera[+3]
canon g3 ? incredible camera,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed .",{},0,False,False,False,False,False,
great camera,i bought my canon g3 about a month ago and i have to say i am very satisfied .,{'canon g3': 3},3,False,False,False,False,False,canon g3[+3]
great camera,i have taken hundreds of photos with it and i continue to be amazed by their quality .,{'photo quality': 2},2,False,False,False,False,False,photo quality[+2]
great camera,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds .",{'feature': 2},2,False,False,False,False,False,feature[+2]
great camera,flaws ?,{},0,False,False,False,False,False,
great camera,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .",{'viewfinder': -1},-1,False,False,False,False,False,viewfinder[-1]
great camera,still i am a little suprised that canon did not correct this design flaw before releasing the camera .,{},0,False,False,False,False,False,
great camera,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography .",{'camera': 2},2,False,False,False,False,False,camera[+2]
have n't had practice but i 'm already in love with it,i have only had this camera for one full day and i have to say that it is wonderful .,{'camera': 2},2,False,False,False,False,False,camera[+2]
have n't had practice but i 'm already in love with it,the photo quality is amazing and i know i 'm going to have fun with all the features .,{'photo quality': 3},3,False,False,False,False,False,photo quality[+3]
have n't had practice but i 'm already in love with it,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) .",{},0,False,False,False,False,False,
have n't had practice but i 'm already in love with it,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera .",{},0,False,False,False,False,False,
have n't had practice but i 'm already in love with it,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )",{'darn diopter adjustment dial': -1},-1,False,False,False,False,False,darn diopter adjustment dial[-1]
have n't had practice but i 'm already in love with it,i am going to have so much fun with this camera and when i learn more i will post a more accurate review .,{},0,False,False,False,False,False,
excellent for the semi-serious amateur,positives,{},0,False,False,False,False,False,
excellent for the semi-serious amateur,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings .","{'exposure control': 2, ',auto setting': 2}",4,False,False,False,False,False,"exposure control[+2],auto setting[+2]"
excellent for the semi-serious amateur,excellent range of metering options as well .,{'metering option': 2},2,False,False,False,False,False,metering option[+2]
excellent for the semi-serious amateur,it 's great to switch to spot metering and actually see it working on the lcd screen .,{'spot metering': 1},1,False,False,False,False,False,spot metering[+1]
excellent for the semi-serious amateur,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ),{'4mp': 1},1,False,False,False,False,False,4mp[+1]
excellent for the semi-serious amateur,3 ) 4x zoom is nice,{'zoom': 1},1,False,False,False,False,False,zoom[+1]
excellent for the semi-serious amateur,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed .",{},0,False,False,False,False,False,
excellent for the semi-serious amateur,5 ) its focusing system is also very flexible .,{'focus': 2},2,False,False,False,False,False,focus[+2]
excellent for the semi-serious amateur,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .",{'focus': 2},2,False,False,False,False,False,focus[+2]
excellent for the semi-serious amateur,negatives,{},0,False,False,False,False,False,
excellent for the semi-serious amateur,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )","{'size': -2, '[u],weight': -2}",-4,True,False,False,False,False,"size[-2][u],weight[-2][u]"
excellent for the semi-serious amateur,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ),{'design': -2},-2,True,False,False,False,False,design[-2][u]
excellent for the semi-serious amateur,4 ) the viewfinder is borderuer lcd scoying .,{'viewfinder': -2},-2,False,False,False,False,False,viewfinder[-2]
fantastic digital camera,the camera has a wonderful set of features .,{'feature': 2},2,False,False,False,False,False,"feature[+2], "
fantastic digital camera,the lcd screen pulls out and rotates in any direction for easy pictures .,{'lcd': 2},2,False,False,False,False,False,lcd[+2]
fantastic digital camera,you can even take a picture of yourself while looking at the lcd .,{},0,False,False,False,False,False,
fantastic digital camera,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .,"{'optical zoom': 2, ',digital zoom': 1}",3,False,False,False,False,False,"optical zoom[+2],digital zoom[+1]"
fantastic digital camera,the highest optical zoom pictures are perfect .,{'picture': 3},3,False,False,False,False,False,picture[+3]
fantastic digital camera,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .",{'picture': 3},3,False,False,False,False,False,picture[+3]
fantastic digital camera,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .",{'software': 2},2,False,False,False,False,False,software[+2]
fantastic digital camera,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .,"{'lens cap': -1, ',viewfinder': -1}",-2,False,False,False,False,False,"lens cap[-1],viewfinder[-1]"
fantastic digital camera,the menus are easy to navigate and the buttons are easy to use .,"{'menu': 1, ',button': 1}",2,False,False,False,False,False,"menu[+1],button[+1]"
fantastic digital camera,it is a fantastic camera and well worth the price .,{'camera': 3},3,False,False,False,False,False,camera[+3]
the best of everything,recent price drops have made the g3 the best bargain in digital cameras currently available .,{'camera': 3},3,False,False,False,False,False,camera[+3]
the best of everything,advanced photobugs will find more creative control than imaginable .,{'control': 2},2,False,False,False,False,False,control[+2]
the best of everything,newbies will find the full auto setting will give them perfect pictures right out of the box .,{'auto setting': 2},2,False,False,False,False,False,auto setting[+2]
the best of everything,4 megapixels is enough for anybody and the photo quality is awesome .,{'photo quality': 3},3,False,False,False,False,False,photo quality[+3]
the best of everything,do n't get fooled by the 5 megapixel marketing hype .,{},0,False,False,False,False,False,
the best of everything,"unless you want to print murals , you do n't need it .",{},0,False,False,False,False,False,
the best of everything,those used to 35mm cameras will find the g3 very comfortable and friendly to use .,{'use': 2},2,True,False,False,False,False,use[+2][u]
the best of everything,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference .",{},0,False,False,False,False,False,
the best of everything,the extended zoom range and faster lense put it at the top of it 's class .,"{'zoom': 2, ',lense': 2}",4,False,False,False,False,False,"zoom[+2],lense[+2]"
the best of everything,i expect the g3 will please me for years to come .,{},0,False,False,False,False,False,
pure class & quality - a work of craftmanship,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period !,{'camera': 3},3,False,False,False,False,False,camera[+3]
pure class & quality - a work of craftmanship,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing .","{'picture': 3, ', control': 2, ', battery': 2, ', software': 2}",9,False,False,False,False,False,"picture[+3], control[+2], battery[+2], software[+2]"
pure class & quality - a work of craftmanship,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .,"{'photo quality': 2, ', auto mode': 2}",4,False,False,False,False,False,"photo quality[+2], auto mode[+2]"
pure class & quality - a work of craftmanship,absolutely breathtaking .,{},0,False,False,False,False,False,
pure class & quality - a work of craftmanship,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out .,{},0,False,False,False,False,False,
pure class & quality - a work of craftmanship,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 .",{},0,False,False,False,False,False,
pure class & quality - a work of craftmanship,"i would recommend a larger compact-flash card , at least 128 mb .",{},0,False,False,False,False,False,
pure class & quality - a work of craftmanship,i bought a 512 mb card by simpletech and it works great with my canon .,{},0,False,False,False,False,False,
great camera,what else can you say about a camera that works for both of you ?,{},0,False,False,False,False,False,
great camera,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally .",{},0,False,False,False,False,False,
great camera,"at the same time , i wanted my wife to not be intimidated by knobs and buttons .",{},0,False,False,False,False,False,
great camera,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife .",{},0,False,False,False,False,False,
great camera,"i showed her how to turn it on , where the lens zoom lever is , and she loves it !",{},0,False,False,False,False,False,
great camera,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get .",{'canera': 2},2,False,False,False,False,False,canera[+2]
great camera,the prints are beautiful !,{'print': 2},2,False,False,False,False,False,print[+2]
great camera,and you get about 120 images on a 256mb card at highest quality .,{},0,False,False,False,False,False,
great camera,"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected .",{},0,False,False,False,False,False,
great camera,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .",{'battery': 1},1,False,False,False,False,False,battery[+1]
