title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
"excellent phone , excellent service .",i am a business user who heavily depend on mobile service .,{},0,False,False,False,False,False,
"excellent phone , excellent service .","there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box .","{'phone': 3, ', work': 2}",5,False,False,False,False,False,"phone[+3], work[+2]"
"excellent phone , excellent service .",just double check with customer service to ensure the number provided by amazon is for the city / exchange you wanted .,{},0,False,False,False,False,False,
"excellent phone , excellent service .","after several years of torture in the hands of at&t customer service i am delighted to drop them , and look forward to august 2004 when i will convert our other 3 family-phones from at&t to t-mobile !",{'at&t customer service': -2},-2,False,False,False,False,False,at&t customer service[-2]
"excellent phone , excellent service .","i have had the phone for 1 week , the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route .",{'signal quality': 3},3,False,False,False,False,False,signal quality[+3]
"excellent phone , excellent service .","i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice recognition .",{},0,False,False,False,False,False,
"excellent phone , excellent service .","my favorite features , although there are many , are the speaker phone , the radio and the infrared .","{'speaker phone': 2, ',radio': 2, ',infrared': 2}",6,False,False,False,False,False,"speaker phone[+2],radio[+2],infrared[+2]"
"excellent phone , excellent service .","the speaker phone is very functional and i use it in the car , very audible even with freeway noise .",{'speaker phone': 2},2,False,False,False,False,False,speaker phone[+2]
"excellent phone , excellent service .","the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re-entering my numbers .",{'infrared': 2},2,False,False,False,False,False,infrared[+2]
"excellent phone , excellent service .","the combination of the nokia 6610 and t-mobile service ( signal , price , service ) is a winner , i highly recommend it .",{},0,False,False,False,False,False,
"good phone , so-so service .",the day finally arrived when i was sure i 'd leave sprint .,{'sprint': -2},-2,False,False,False,False,False,sprint[-2]
"good phone , so-so service .","after years with that carrier 's expensive plans and horrible customer service , portability seemed heaven-sent .","{'sprint plan': -2, ',sprint customer service': -3}",-5,False,False,False,False,False,"sprint plan[-2],sprint customer service[-3]"
"good phone , so-so service .","i 'd always eyed the nokia phones and had heard decent things about t-mobile , so i gave it a whirl .",{},0,False,False,False,False,False,
"good phone , so-so service .","here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy .","{'size': 1, '[u], sturdy': 2}",3,True,False,False,False,False,"size[+1][u], sturdy[+2]"
"good phone , so-so service .","it has lots of little cute features , my favorite being the games and the pim ( personal information manager -- i.e. organizer ) , and the radio !","{'game': 2, ',pim': 2, ',radio': 2}",6,False,False,False,False,False,"game[+2],pim[+2],radio[+2]"
