title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
a quick update to the new zen nx ?,"this is an edited review , now that i have had time to use the device .",{},0,False,False,False,False,False,
a quick update to the new zen nx ?,"while , there are flaws with the machine , the xtra gets five stars because of its affordability .",{'affordability': 3},3,False,False,False,False,False,affordability[+3]
a quick update to the new zen nx ?,it is the most bang-for-the-buck out there .,{'bang-for-the-buck': 3},3,True,False,False,False,False,bang-for-the-buck[+3][u]
a quick update to the new zen nx ?,"like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) .","{'size': 2, ',weight': 2, ',navigational system': 2, ', sound': 3}",9,False,False,False,False,False,"size[+2],weight[+2],navigational system[+2], sound[+3]"
a quick update to the new zen nx ?,"the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better .",{'screen': 3},3,False,False,False,False,False,screen[+3]
a quick update to the new zen nx ?,"further , the xtra doubles the maximum filecount capacity to 16000 mp3 .",{},0,False,False,False,False,False,
a quick update to the new zen nx ?,this is especially useful for those who listen mostly to pop music and store all those short ditties .,{},0,False,False,False,False,False,
a quick update to the new zen nx ?,"when compared to the ipod the zen xtra falls short , but only by a bit .",{},0,False,False,False,False,False,
a quick update to the new zen nx ?,"yes the ipod is smaller , but not $ 200 worth , which is the premium you 'll pay for an equivalent capacity model .",{},0,False,False,False,False,False,
a quick update to the new zen nx ?,"yes , the ipod looks in tune with the carefully articulated urban-hipster persona thats become popular as of late , but sure-as-hell is n't worth the $ 200 premium ( unless you are just dying to match your music player with that volkswagen beetle and urban outfitters wardrobe ) .",{},0,False,False,False,False,False,
a quick update to the new zen nx ?,"for me , i 'll save that cash for another purchase .",{},0,False,False,False,False,False,
get this player !,"before i decided to get this player , i did my research .",{},0,False,False,False,False,False,
get this player !,"i looked up the ipod , the dell jukebox , and the samsung napster player .",{},0,False,False,False,False,False,
get this player !,"i chose this one because from what i read , it was the best deal for the money .",{'deal': 3},3,False,False,False,False,False,deal[+3]
get this player !,another reason i got it is because you can put wma files on it .,{'wma file': 2},2,False,False,False,False,False,wma file[+2]
get this player !,that takes up half the space of mp3 's .,{},0,False,False,False,False,False,
get this player !,that 's important because i have a lot of music .,{},0,False,False,False,False,False,
get this player !,the software is great .,{'software': 2},2,False,False,False,False,False,software[+2]
get this player !,"you can sort your music by artist , title , album , or genre , and you can play music based on those categories .",{},0,False,False,False,False,False,
get this player !,"transfering is easy , the software makes everythig pretty easy .",{'software': 2},2,False,False,False,False,False,software[+2]
get this player !,"even the battery life is great - it advertises 14 hours , it 's actually a little less but still good .",{'battery life': 2},2,False,False,False,False,False,battery life[+2]
get this player !,"only 1 problem , no accessories ... yet .",{'accessory': -1},-1,False,False,False,False,False,accessory[-1]
get this player !,"i hope it 's because it 's new and they are not out yet , but being without a remote is hard .",{'remote': -2},-2,False,False,False,False,False,remote[-2]
get this player !,they player 's interface itself is also very easy to use .,{'interface': 2},2,False,False,False,False,False,interface[+2]
get this player !,"can 't complain and i recommend it over all the other players , just hope that remote will come out soon .",{},0,False,False,False,False,False,
get this player !,"get it , it 's woth every penny ! !",{'player': 3},3,False,True,False,False,False,player[+3][p]
kick a player,i was a little concerned to be the black sheep buying this player instead of the incredibly overpriced apple i-pod .,{},0,False,False,False,False,False,
kick a player,"i 've had it for a week now , do n't regret the purchase one bit , and i never leave home without it .",{'player': 3},3,False,True,False,False,False,player[+3][p]
kick a player,"if you have any doubts about this player , well do n't .",{},0,False,False,False,False,False,
kick a player,pros :,{},0,False,False,False,False,False,
kick a player,"software is easy to use ( although redhat software is better , but costs money )",{'software': 2},2,False,False,False,False,False,software[+2]
kick a player,"much cheaper than i-pod good looking player ( beautiful blue back-lit screen ) if you 've read about the player , some have complained about the lack of a viewing hole for the face when the case is on , but this is good because the face does n't get damaged / scratched fast transfer rate",{'price': 2},2,False,False,False,False,False,price[+2]
kick a player,no issues as of yet,{},0,False,False,False,False,False,
kick a player,cons :,{},0,False,False,False,False,False,
kick a player,"you 're going to need to buy new headphones , the stock ones suck",{'headphone': -3},-3,False,False,False,False,False,headphone[-3]
kick a player,"hopefully , this player will out sell the ridculously over-hyped i-pod .",{},0,False,False,False,False,False,
kick a player,"if you want to be a poser and follow the herd , mooooooh , then buy the i-pod .",{},0,False,False,False,False,False,
kick a player,"otherwise , be smart , save the cash .",{},0,False,False,False,False,False,
the sound is the thing !,for me the sound of the music is what is important .,{},0,False,False,False,False,False,
the sound is the thing !,the zen xtra sounds great with good headphone and well recored mp3s .,{'sound': 2},2,False,False,False,False,False,sound[+2]
the sound is the thing !,navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well .,{'navigation': -1},-1,False,False,False,False,False,navigation[-1]
the sound is the thing !,at 8 ounces it is pretty light but not as light as the ipod .,{'weight': 2},2,False,False,False,False,False,weight[+2]
the sound is the thing !,the battery is replaceable ( a real plus ) and there is a leather case ( another real plus ) .,"{'battery': 2, ',leather case': 2}",4,False,False,False,False,False,"battery[+2],leather case[+2]"
the sound is the thing !,i suppose that you could jog with it but it seems to be made for the enjoyment of music .,{},0,False,False,False,False,False,
the sound is the thing !,so far the software for the pc works easily .,{'software': 2},2,False,False,False,False,False,software[+2]
the sound is the thing !,"by the way , it looks nice also .",{'looking': 2},2,False,False,False,False,False,looking[+2]
an ipod killer :,this thing kicks mighty apple butt !,{},0,False,False,False,False,False,
an ipod killer :,"i would have given this thing 4.5 stars but since i can 't , i 'll be sweet and give it the full 5 stars .",{},0,False,False,False,False,False,
an ipod killer :,it 's worth it .,{'player': 3},3,False,True,False,False,False,player[+3][p]
an ipod killer :,"i personally do n't like apple or their business practices ( screwing resellers , customers and employees left and right ) so i shopped around for something else .",{},0,False,False,False,False,False,
an ipod killer :,"after finally stumbling upon this zen nx player , i knew i had found what i was looking for .",{},0,False,False,False,False,False,
an ipod killer :,my two main requirements were longer battery life and lower price : i found both .,"{'battery life': 2, ',price': 2}",4,False,False,False,False,False,"battery life[+2],price[+2]"
an ipod killer :,this thing lasted well over 14 hours when i played it straight for the first time .,{},0,False,False,False,False,False,
an ipod killer :,"the zen nx is $ 100 cheaper than the ipod of the same size , so you have to wonder just how much apple 's markup is anyway !",{},0,False,False,False,False,False,
